layer,profundidade,espessura,well_comp,well_text,well_bat,M1_comp,M1_text,M1_bat,M2_comp,M2_text,M2_bat,M3_comp,M3_text,M3_bat
1,0,1,5,5,2,5,5,2,5,5,2,1,1,5
2,1,1,5,5,2,5,5,2,5,5,2,1,1,5
3,2,1,5,5,2,5,5,2,5,5,2,1,1,5
4,3,1,5,5,2,6,5,2,3,3,3,1,1,5
5,4,1,3,3,3,4,3,3,3,3,3,1,1,5
6,5,1,5,5,2,4,3,3,3,3,3,1,1,5
7,6,1,5,5,2,5,5,2,5,5,2,1,1,5
8,7,1,5,5,2,5,5,2,3,3,3,1,1,5
9,8,1,3,3,3,3,3,3,3,3,3,1,1,5
10,9,1,3,3,3,3,3,3,3,3,3,3,3,3
11,10,1,5,5,2,6,5,2,3,3,3,1,1,5
12,11,1,5,5,2,5,5,2,5,5,2,1,1,5
13,12,1,3,3,3,3,3,3,3,3,3,1,1,5
14,13,1,3,3,3,3,3,3,3,3,3,3,3,3
15,14,1,3,3,3,4,3,3,3,3,3,1,1,5
16,15,1,5,5,2,5,5,2,5,5,2,3,3,3
17,16,1,3,3,3,3,3,3,3,3,3,3,3,3
18,17,1,3,3,3,3,3,3,3,3,3,5,5,2
19,18,1,3,3,3,3,3,3,1,1,5,5,5,2
20,19,1,3,3,3,3,3,3,1,1,5,5,5,2
21,20,1,5,5,2,5,5,2,3,3,3,3,3,3
22,21,1,5,5,2,5,5,2,1,1,5,3,3,3
23,22,1,5,5,2,5,5,2,1,1,5,3,3,3
24,23,1,3,3,3,3,3,3,1,1,5,3,3,3
25,24,1,3,3,3,3,3,3,1,1,5,5,5,2
26,25,1,1,1,5,2,1,5,1,1,5,3,3,3
27,26,1,3,3,3,3,3,3,1,1,5,3,3,3
28,27,1,1,1,5,2,1,5,1,1,5,3,3,3
29,28,1,1,1,5,2,1,5,1,1,5,5,5,2
30,29,1,1,1,5,2,1,5,1,1,5,5,5,2
31,30,1,3,3,3,2,1,5,3,3,3,3,3,3
32,31,1,1,1,5,2,1,5,1,1,5,3,3,3
33,32,1,1,1,5,2,1,5,1,1,5,5,5,2
34,33,1,1,1,5,2,1,5,1,1,5,5,5,2
35,34,1,1,1,5,2,1,5,1,1,5,5,5,2
36,35,1,1,1,5,2,1,5,1,1,5,3,3,3
37,36,1,1,1,5,2,1,5,1,1,5,5,5,2
38,37,1,1,1,5,2,1,5,1,1,5,5,5,2
39,38,1,1,1,5,2,1,5,1,1,5,5,5,2
40,39,1,1,1,5,2,1,5,1,1,5,5,5,2
