layer;profundidade;espessura;well_text;well_bat;well_comp;M1_text;M1_bat;M1_comp;M2_text;M2_bat;M2_comp;M3_text;M3_bat;M3_comp;M4_text;M4_bat;M4_comp;layer_ori;layer_alt;;;;;;
1;0;1;5;2;6;5;2;6;5;2;5;1;5;2;5;2;6;1;1;;número de transições (para variabilidade);;;;
1;1;1;5;2;6;5;2;6;3;3;3;1;5;2;1;5;2;1;1;;0;0;1;0;1
1;2;1;5;2;5;5;2;5;1;5;2;1;5;2;5;2;5;1;1;;1;1;1;0;1
1;3;1;3;3;4;3;3;4;3;3;3;3;3;3;3;3;4;1;1;;1;1;1;1;1
1;4;1;3;3;4;3;3;4;5;2;5;3;3;3;1;5;1;1;1;;0;0;1;0;1
2;5;1;5;2;6;5;2;6;5;2;5;1;5;2;5;2;6;2;1;;1;1;0;1;1
2;6;1;5;2;6;5;2;6;3;3;4;1;5;2;5;2;6;2;1;;0;0;1;0;0
2;7;1;5;2;6;5;2;6;1;5;2;1;5;2;1;5;2;2;1;;0;0;1;0;1
2;8;1;3;3;4;3;3;4;3;3;3;3;3;3;3;3;4;2;1;;1;1;1;1;1
2;9;1;3;3;4;3;3;4;5;2;5;3;3;3;3;3;4;2;1;;0;0;1;0;0
3;10;1;5;2;5;5;2;5;5;2;6;1;5;2;1;5;1;3;2;;1;1;1;1;1
3;11;1;5;2;5;5;2;5;3;3;4;1;5;1;5;2;5;3;2;;0;0;1;1;1
3;12;1;5;2;6;5;2;6;1;5;2;1;5;2;5;2;6;3;2;;1;1;1;1;1
3;13;1;3;3;3;3;3;3;3;3;3;3;3;3;1;5;1;3;2;;1;1;1;1;1
3;14;1;3;3;4;3;3;4;5;2;5;3;3;3;3;3;4;3;2;;1;1;1;0;1
4;15;1;5;2;5;5;2;5;5;2;5;1;5;2;5;2;5;4;2;;1;1;0;1;1
4;16;1;3;3;4;3;3;4;3;3;3;3;3;3;3;3;4;4;2;;1;1;1;1;1
4;17;1;3;3;4;3;3;4;1;5;2;3;3;4;1;5;1;4;2;;0;0;1;1;1
4;18;1;3;3;3;3;3;4;3;3;4;3;3;3;3;3;3;4;2;;1;0;1;1;1
4;19;1;1;5;2;5;2;5;5;2;5;5;2;5;1;5;2;4;2;;1;1;1;1;1
5;20;1;5;2;5;5;2;5;5;2;5;1;5;2;5;2;5;5;3;;1;0;0;1;1
5;21;1;3;3;4;3;3;3;3;3;3;3;3;3;1;5;1;5;3;;1;1;1;1;1
5;22;1;3;3;4;1;5;2;1;5;2;3;3;3;3;3;4;5;3;;0;1;1;0;1
5;23;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;3;;1;1;1;0;1
5;24;1;1;5;2;1;5;2;5;2;5;5;2;5;1;5;2;5;3;;1;1;1;1;1
6;25;1;5;2;5;5;2;5;5;2;5;1;5;2;1;5;1;6;3;;1;1;0;1;1
6;26;1;3;3;4;3;3;4;3;3;3;3;3;4;3;3;4;6;3;;1;1;1;1;1
6;27;1;3;3;4;3;3;4;1;5;2;3;3;3;3;3;4;6;3;;0;0;1;1;0
6;28;1;3;3;3;3;3;3;3;3;3;3;3;3;1;5;1;6;3;;1;1;1;0;1
6;29;1;1;5;2;1;5;2;5;2;5;5;2;5;1;5;2;6;3;;1;1;1;1;1
7;30;1;5;2;5;5;2;5;3;3;3;1;5;2;1;5;2;7;4;;1;1;1;1;0
7;31;1;3;3;4;3;3;4;1;5;2;3;3;3;1;3;2;7;4;;1;1;1;1;0
7;32;1;3;3;3;3;3;3;1;5;2;3;3;3;3;3;3;7;4;;1;1;0;0;1
7;33;1;1;5;1;1;5;1;3;3;3;5;2;6;1;5;1;7;4;;1;1;1;1;1
7;34;1;1;5;2;1;5;2;3;3;3;5;2;5;1;5;2;7;4;;1;1;0;1;1
8;35;1;5;2;6;5;2;6;3;3;3;1;5;1;5;2;6;8;4;;1;1;0;1;1
8;36;1;3;3;3;3;3;3;3;3;3;3;3;4;1;5;2;8;4;;1;1;0;1;1
8;37;1;3;3;4;3;3;4;1;5;2;3;3;3;3;3;4;8;4;;1;1;1;1;1
8;38;1;1;5;2;1;5;2;3;3;3;5;2;5;1;5;2;8;4;;1;1;1;1;1
8;39;1;1;5;1;1;5;1;3;3;3;5;2;5;1;5;1;8;4;;1;1;0;0;1
9;40;1;5;2;5;5;2;5;3;3;3;1;5;2;1;5;1;9;5;;1;1;0;1;0
9;41;1;3;3;3;3;3;3;1;5;2;3;3;3;3;3;3;9;5;;1;1;1;1;1
9;42;1;3;3;4;3;3;4;1;5;2;3;3;3;1;5;1;9;5;;1;1;0;0;1
9;43;1;1;5;2;1;5;2;3;3;3;5;2;6;1;5;1;9;5;;1;1;1;1;0
9;44;1;1;5;1;1;5;1;3;3;3;5;2;5;1;5;1;9;5;;1;1;0;1;0
10;45;1;5;2;5;5;2;5;3;3;3;1;5;1;5;2;5;10;5;;1;1;0;1;1
10;46;1;3;3;4;3;3;4;3;3;3;3;3;4;1;5;1;10;5;;1;1;0;1;1
10;47;1;3;3;4;3;3;4;1;5;2;3;3;3;1;5;2;10;5;;0;0;1;1;1
10;48;1;1;5;1;1;5;1;3;3;4;5;2;5;1;5;1;10;5;;1;1;1;1;1
10;49;1;1;5;2;1;5;2;3;3;3;5;2;5;1;5;2;10;5;;1;1;1;0;1
;;;;;;;;;;;;;;;;;;;;;39;38;35;35;41
;;;;;;;;;;;;;;;;;;;;;0.795918367;0.775510204;0.714285714;0.714285714;0.836734694
;;;;;;;;;;;;;;;;;;;;;well;M1;M2;M3;M4
