Prof	DT	TH	Th	Poisson	Th_original
1000	165	4567.5	3096	0.476666667	4128
1250	158	4757.8125	3226.5	0.481631944	4302
1300	155	4948.125	3357	0.486597222	4476
1350	148	5138.4375	3487.5	0.4915625	4650
1400	149	5328.75	3618	0.496527778	4824
1450	145	5519.0625	3748.5	0.501493056	4998
1500	142	5709.375	3879	0.506458333	5172
1550	141	5899.6875	4009.5	0.511423611	5346
1600	149	6090	4140	0.516388889	5520
1650	140	6280.3125	4270.5	0.521354167	5694
1700	138	6470.625	4401	0.526319444	5868
1750	137	6660.9375	4531.5	0.531284722	6042
1800	135	6851.25	4662	0.53625	6216
1850	133	7041.5625	4792.5	0.541215278	6390
1900	132	7231.875	4923	0.546180556	6564
1950	126	7422.1875	5053.5	0.551145833	6738
2000	123	7612.5	5184	0.556111111	6912
2050	125	7802.8125	5314.5	0.561076389	7086
2100	124	7993.125	5445	0.566041667	7260
2150	121	8183.4375	5575.5	0.571006944	7434
2200	118	8373.75	5706	0.575972222	7608
2250	119	8564.0625	5836.5	0.5809375	7782
2300	115	8754.375	5967	0.585902778	7956
2350	105	8944.6875	6097.5	0.590868056	8130
2400	104	9135	6228	0.595833333	8304
2450	110	9325.3125	6358.5	0.600798611	8478
2500	119	9515.625	6489	0.605763889	8652
2550	113	9705.9375	6619.5	0.610729167	8826
2600	112	9896.25	6750	0.615694444	9000
2650	109	10086.5625	6880.5	0.620659722	9174
2700	96	10276.875	7011	0.625625	9348
2750	105	10467.1875	7141.5	0.630590278	9522
2800	97	10657.5	7272	0.635555556	9696
2850	101	10847.8125	7402.536	0.640520833	9870.048
2900	95	11038.125	7533	0.645486111	10044
2950	94	11228.4375	7663.536	0.650451389	10218.048
3000	98	11418.75	7794	0.655416667	10392
3050	96	11609.0625	7924.536	0.660381944	10566.048
3100	100	11799.375	8055	0.665347222	10740
3150	97	11989.6875	8185.536	0.6703125	10914.048
3200	101	12180	8316	0.675277778	11088
3250	98	12370.3125	8446.536	0.680243056	11262.048
3300	102	12560.625	8577	0.685208333	11436
3350	99	12750.9375	8707.536	0.690173611	11610.048
3400	105	12941.25	8838	0.695138889	11784
3450	100	13131.5625	8968.536	0.700104167	11958.048
3500	110	13321.875	9099	0.705069444	12132
3550	109	13512.1875	9229.536	0.710034722	12306.048
3600	97	13702.5	9360	0.715	12480
3650	95	13892.8125	9490.536	0.719965278	12654.048
3700	96	14083.125	9621	0.724930556	12828
3750	98	14273.4375	9751.536	0.729895833	13002.048
3800	100	14463.75	9882	0.734861111	13176
3850	105	14654.0625	10012.536	0.739826389	13350.048
3900	99	14844.375	10143	0.744791667	13524
3950	110	15034.6875	10273.536	0.749756944	13698.048
4000	102	15225	10404	0.754722222	13872
4050	110	15415.3125	10534.536	0.7596875	14046.048
4100	105	15605.625	10665	0.764652778	14220
4150	115	15795.9375	10795.536	0.769618056	14394.048
4200	108	15986.25	10926	0.774583333	14568
4250	106	16176.5625	11056.536	0.779548611	14742.048
4300	105	16366.875	11187	0.784513889	14916
4350	103	16557.1875	11317.536	0.789479167	15090.048
4400	102	16747.5	11448	0.794444444	15264
4450	101	16937.8125	11578.536	0.799409722	15438.048
4500	99	17128.125	11709	0.804375	15612
