Prof	DT	TH	Th	Poisson
1200	149	4350	4300	0.266666667
1250	158	4531.25	4481.25	0.269444444
1300	162	4712.5	4662.5	0.272222222
1350	153	4893.75	4843.75	0.275
1400	138	5075	5025	0.277777778
1450	143	5256.25	5206.25	0.280555556
1500	163	5437.5	5387.5	0.283333333
1550	126	5618.75	5568.75	0.286111111
1600	141	5800	5750	0.288888889
1650	159	5981.25	5931.25	0.291666667
1700	148	6162.5	6112.5	0.294444444
1750	144	6343.75	6293.75	0.297222222
1800	127	6525	6475	0.3
1850	133	6706.25	6656.25	0.302777778
1900	113	6887.5	6837.5	0.305555556
1950	105	7068.75	7018.75	0.308333333
2000	99	7250	7200	0.311111111
2050	144	7431.25	7381.25	0.313888889
2100	144	7612.5	7562.5	0.316666667
2150	119	7793.75	7743.75	0.319444444
2200	142	7975	7925	0.322222222
2250	95	8156.25	8106.25	0.325
2300	111	8337.5	8287.5	0.327777778
2350	116	8518.75	8468.75	0.330555556
2400	92	8700	8650	0.333333333
2450	134	8881.25	8831.25	0.336111111
2500	107	9062.5	9012.5	0.338888889
2550	116	9243.75	9193.75	0.341666667
2600	87	9425	9375	0.344444444
2650	123	9606.25	9556.25	0.347222222
2700	92	9787.5	9737.5	0.35
2750	124	9968.75	9918.75	0.352777778
2800	79	10150	10100	0.355555556
2850	98	10331.25	10281.3	0.358333333
2900	77	10512.5	10462.5	0.361111111
2950	73	10693.75	10643.8	0.363888889
3000	113	10875	10825	0.366666667
3050	107	11056.25	11006.3	0.369444444
3100	105	11237.5	11187.5	0.372222222
3150	80	11418.75	11368.8	0.375
3200	116	11600	11550	0.377777778
3250	121	11781.25	11731.3	0.380555556
3300	84	11962.5	11912.5	0.383333333
3350	79	12143.75	12093.8	0.386111111
3400	115	12325	12275	0.388888889
3450	79	12506.25	12456.3	0.391666667
3500	101	12687.5	12637.5	0.394444444
3550	110	12868.75	12818.8	0.397222222
3600	82	13050	13000	0.4
3650	115	13231.25	13181.3	0.402777778
3700	75	13412.5	13362.5	0.405555556
3750	96	13593.75	13543.8	0.408333333
3800	75	13775	13725	0.411111111
3850	102	13956.25	13906.3	0.413888889
3900	120	14137.5	14087.5	0.416666667
3950	95	14318.75	14268.8	0.419444444
4000	90	14500	14450	0.422222222
4050	109	14681.25	14631.3	0.425
4100	103	14862.5	14812.5	0.427777778
4150	111	15043.75	14993.8	0.430555556
4200	94	15225	15175	0.433333333
4250	89	15406.25	15356.3	0.436111111
4300	90	15587.5	15537.5	0.438888889
4350	118	15768.75	15718.8	0.441666667
4400	107	15950	15900	0.444444444
4450	114	16131.25	16081.3	0.447222222
4500	119	16312.5	16262.5	0.45
